Site	Family	Species
SiteA	Alismataceae	Alisma plantago-aquatica L.
SiteA	Apiaceae	Peucedanum palustre (L.) Moench
SiteA	Araliaceae	Hydrocotyle vulgaris L.
SiteA	Asteraceae	Cirsium palustre (L.) Scop.
SiteA	Betulaceae	Alnus glutinosa (L.) Gaertn.
SiteA	Caprifoliaceae	Valeriana dioica L.
SiteA	Cyperaceae	Carex davalliana Sm.
SiteA	Cyperaceae	Carex echinata Murray
SiteA	Cyperaceae	Carex elata All.
SiteA	Cyperaceae	Carex elongata L.
SiteA	Cyperaceae	Carex hostiana DC.
SiteA	Cyperaceae	Carex lasiocarpa Ehrh.
SiteA	Cyperaceae	Carex nigra (L.) Reichard
SiteA	Cyperaceae	Carex panicea L.
SiteA	Cyperaceae	Carex vesicaria L.
SiteA	Cyperaceae	Eleocharis palustris (L.) Roem. & Schult.
SiteA	Cyperaceae	Eriophorum angustifolium Honck.
SiteA	Cyperaceae	Eriophorum latifolium Hoppe
SiteA	Equisetaceae	Equisetum palustre L.
SiteA	Iridaceae	Iris pseudacorus L.
SiteA	Juncaceae	Juncus conglomeratus L.
SiteA	Juncaceae	Juncus effusus L.
SiteA	Lamiaceae	Lycopus europaeus L.
SiteA	Lamiaceae	Mentha aquatica L.
SiteA	Lamiaceae	Scutellaria galericulata L.
SiteA	Lythraceae	Lythrum salicaria L.
SiteA	Onagraceae	Epilobium palustre L.
SiteA	Orchidaceae	Liparis loeselii (L.) Rich.
SiteA	Plantaginaceae	Veronica scutellata L.
SiteA	Poaceae	Molinia caerulea (L.) Moench
SiteA	Poaceae	Phragmites australis (Cav.) Steud.
SiteA	Potamogetonaceae	Potamogeton natans L.
SiteA	Primulaceae	Lysimachia vulgaris L.
SiteA	Ranunculaceae	Ranunculus flammula L.
SiteA	Rhamnaceae	Frangula alnus Mill.
SiteA	Rosaceae	Filipendula ulmaria (L.) Maxim.
SiteA	Rosaceae	Potentilla erecta (L.) Raeusch.
SiteA	Rosaceae	Potentilla palustris (L.) Scop.
SiteA	Rubiaceae	Galium palustre L.
SiteA	Salicaceae	Salix repens L.
SiteA	Thelypteridaceae	Thelypteris palustris Schott
SiteB	Asteraceae	Cirsium palustre (L.) Scop.
SiteB	Asteraceae	Cirsium rivulare (Jacq.) All.
